Date	Time	CongHt
10/5/15	6:30	18.75
10/5/15	6:45	18.8
10/5/15	7:00	18.85
10/5/15	7:15	18.86
10/5/15	7:30	18.91
10/5/15	7:45	18.95
10/5/15	8:00	18.96
10/5/15	8:15	19.01
10/5/15	8:30	19.05
10/5/15	8:45	19.08
10/5/15	9:00	19.11
10/5/15	9:15	19.14
10/5/15	9:30	19.16
10/5/15	9:45	19.22
10/5/15	10:00	19.24
10/5/15	10:15	19.27
10/5/15	10:30	19.28
10/5/15	10:45	19.31
10/5/15	11:00	19.34
10/5/15	11:15	19.36
10/5/15	11:30	19.39
10/5/15	11:45	19.41
10/5/15	12:00	19.42
10/5/15	12:15	19.46
10/5/15	12:30	19.47
10/5/15	12:45	19.49
10/5/15	13:00	19.51
10/5/15	13:15	19.53
10/5/15	13:30	19.55
10/5/15	13:45	19.58
10/5/15	14:00	19.58
10/5/15	14:15	19.61
10/5/15	14:30	19.61
10/5/15	14:45	19.64
10/5/15	15:00	19.64
10/5/15	15:15	19.67
10/5/15	15:30	19.68
10/5/15	15:45	19.72
10/5/15	16:00	19.71
10/5/15	16:15	19.73
10/5/15	16:30	19.75
10/5/15	16:45	19.76
10/5/15	17:00	19.76
10/5/15	17:15	19.78
10/5/15	17:30	19.78
10/5/15	17:45	19.78
10/5/15	18:00	19.8
10/5/15	18:15	19.79
10/5/15	18:30	19.81
10/5/15	18:45	19.8
10/5/15	19:00	19.8
10/5/15	19:15	19.8
10/5/15	19:30	19.81
10/5/15	19:45	19.82
10/5/15	20:00	19.81
10/5/15	20:15	19.81
10/5/15	20:30	19.81
10/5/15	20:45	19.81
10/5/15	21:00	19.83
10/5/15	21:15	19.82
10/5/15	21:30	19.82
10/5/15	21:45	19.83
10/5/15	22:00	19.82
10/5/15	22:15	19.83
10/5/15	22:30	19.81
10/5/15	22:45	19.81
10/5/15	23:00	19.81
10/5/15	23:15	19.81
10/5/15	23:30	19.81
10/5/15	23:45	19.82
10/6/15	0:00	19.8
10/6/15	0:15	19.79
10/6/15	0:30	19.8
10/6/15	0:45	19.79
